porsche992rgt3;Race;RACE;bathurst
Realistic;Clear;19C;track;19C;Winds;SE;14km/h;RH;94%;Fog;0%;Rain;0%
;Lap;Laptime;S1;S2;S3;S4;S5;S6;Stint;Total Time;Average laptime;L/lap;Tank (L);Average L/lap;ERS;Cons.;MGU;F Wing; R Wing;Time Rem.;Laps Rem.;Fuel to add;PIT;Trk temp.;
;2;29:10.330;32.821;1:02.714;31.013;15.832;49.955;11:13.082;1;29:10.330;29:10.330;1.916;93.801;1.916;100.0;0.0;0.0;--;--;12:05:54;379.0;634.7;;19.4 °C;
;3;3:26.794;45.982;37.568;24.967;15.482;45.027;34.611;2;32:37.123;16:18.562;1.760;92.040;1.838;100.0;0.0;0.0;--;--;12:02:28;24.0;-47.5;;19.4 °C;
;4;3:47.322;44.031;41.212;24.147;13.600;37.463;32.405;3;36:24.445;12:08.148;1.549;90.491;1.742;100.0;0.0;0.0;--;--;11:58:40;208.0;272.2;;19.4 °C;
;5;2:10.039;26.584;31.331;20.725;12.737;26.487;43.228;4;38:34.485;9:38.621;3.165;87.327;2.097;100.0;0.0;0.0;--;--;11:56:31;197.0;328.5;;19.4 °C;
;6;2:03.970;23.199;24.302;18.032;11.221;26.295;23.180;5;40:38.455;8:07.691;3.262;84.065;2.330;100.0;0.0;0.0;--;--;11:54:27;227.0;445.4;;19.4 °C;
;7;2:03.171;23.267;24.235;17.760;11.298;26.281;22.625;6;42:41.625;7:06.938;3.280;80.784;2.489;100.0;0.0;0.0;--;--;11:52:23;247.0;562.8;;19.4 °C;
;8;2:03.094;23.166;24.255;17.845;11.206;26.281;24.037;7;44:44.719;6:23.531;3.270;77.514;2.600;100.0;0.0;0.0;--;--;11:50:20;289.0;762.7;;19.4 °C;
;9;2:03.109;22.735;23.800;18.206;11.799;25.932;21.657;8;46:47.829;5:50.979;3.332;74.182;2.692;100.0;0.0;0.0;--;--;11:48:18;336.0;1022.4;;19.4 °C;
;10;2:02.816;22.883;23.739;17.658;11.592;26.026;21.740;9;48:50.645;5:25.627;3.367;70.815;2.767;100.0;0.0;0.0;--;--;11:46:14;339.0;1049.3;;19.4 °C;
;11;2:02.771;22.830;24.351;17.508;10.938;25.887;21.617;10;50:53.416;5:05.342;3.363;67.451;2.826;100.0;0.0;0.0;--;--;11:44:12;339.0;1059.5;;19.4 °C;
;12;2:02.535;22.960;23.822;18.015;11.387;25.830;21.707;11;52:55.951;4:48.723;3.376;64.076;2.876;100.0;0.0;0.0;--;--;11:42:09;338.0;1066.0;;19.4 °C;
;13;2:02.596;22.886;23.665;17.381;10.900;25.806;21.610;12;54:58.548;4:34.879;3.363;60.714;2.917;100.0;0.0;0.0;--;--;11:40:06;337.0;1072.3;;19.4 °C;
;14;2:02.506;22.829;23.749;17.426;10.965;25.796;21.702;13;57:01.054;4:23.158;3.390;57.322;2.953;100.0;0.0;0.0;--;--;11:38:04;337.0;1079.6;;19.4 °C;
;15;2:02.502;22.855;23.783;17.432;10.973;25.934;21.618;14;59:03.556;4:13.111;3.375;53.949;2.983;100.0;0.0;0.0;--;--;11:36:01;336.0;1080.1;;19.4 °C;
;16;2:02.242;22.856;23.660;17.445;10.858;25.848;21.586;15;61:05.798;4:04.387;3.373;50.574;3.009;100.0;0.0;0.0;--;--;11:33:59;335.0;1080.8;;19.4 °C;
;17;2:02.473;22.842;23.718;17.417;10.873;25.808;21.510;16;63:08.271;3:56.767;3.376;47.198;3.032;100.0;0.0;0.0;--;--;11:31:56;334.0;1080.8;;19.4 °C;
;18;2:03.505;22.790;23.693;17.326;10.834;25.899;21.610;17;65:11.776;3:50.104;3.303;43.896;3.048;100.0;0.0;0.0;--;--;11:29:53;333.0;1080.1;;19.4 °C;
;19;2:02.557;22.775;23.852;17.417;10.880;25.866;21.664;18;67:14.332;3:44.130;3.347;40.548;3.065;100.0;0.0;0.0;--;--;11:27:50;333.0;1077.2;;19.4 °C;
;20;2:02.596;22.860;23.631;17.377;10.795;25.793;21.658;19;69:16.929;3:38.786;3.317;37.232;3.078;100.0;0.0;0.0;--;--;11:25:48;331.0;1070.0;;19.4 °C;
;21;2:02.455;22.809;23.710;17.390;10.882;25.833;21.643;20;71:19.383;3:33.969;3.317;33.915;3.090;100.0;0.0;0.0;--;--;11:23:45;330.0;1066.3;;19.4 °C;
;22;2:02.609;22.828;23.778;17.398;10.880;25.870;21.694;21;73:21.992;3:29.619;3.327;30.588;3.101;100.0;0.0;0.0;--;--;11:21:43;329.0;1063.1;;19.4 °C;
;23;2:03.120;22.964;23.747;17.360;10.877;25.808;21.677;22;75:25.112;3:25.687;3.276;27.312;3.109;100.0;0.0;0.0;--;--;11:19:40;328.0;1061.2;;19.4 °C;
;24;2:02.480;22.804;23.737;17.382;10.819;25.837;21.628;23;77:27.592;3:22.069;3.272;24.039;3.116;100.0;0.0;0.0;--;--;11:17:37;327.0;1056.2;;19.4 °C;
